iter	Passed	Remaining
0	111	111618
1	112	56097
2	112	37538
3	113	28233
4	113	22654
5	114	18933
6	114	16277
7	115	14284
8	115	12736
9	116	11493
10	116	10476
11	116	9630
12	117	8913
13	117	8303
14	118	7772
15	118	7307
16	119	6897
17	119	6532
18	120	6208
19	120	5917
20	121	5650
21	121	5413
22	122	5191
23	122	4990
24	123	4805
25	123	4632
26	124	4475
27	124	4328
28	125	4190
29	125	4060
30	126	3939
31	126	3825
32	126	3719
33	127	3618
34	127	3523
35	128	3432
36	128	3347
37	129	3268
38	129	3193
39	130	3120
40	130	3052
41	130	2986
42	131	2924
43	131	2864
44	132	2807
45	132	2753
46	133	2701
47	133	2651
48	134	2603
49	134	2558
50	135	2514
51	135	2471
52	135	2429
53	136	2389
54	136	2351
55	137	2313
56	137	2277
57	138	2243
58	138	2209
59	138	2177
60	139	2146
61	139	2116
62	140	2087
63	140	2058
64	141	2030
65	141	2004
66	142	1978
67	142	1951
68	142	1927
69	143	1903
70	143	1880
71	144	1857
72	144	1835
73	144	1813
74	145	1792
75	145	1772
76	146	1753
77	146	1734
78	147	1715
79	147	1697
80	148	1679
81	148	1661
82	148	1644
83	149	1628
84	149	1610
85	150	1594
86	150	1578
87	150	1563
88	151	1549
89	151	1534
90	152	1520
91	152	1506
92	153	1493
93	153	1480
94	154	1467
95	154	1454
96	154	1442
97	155	1429
98	155	1417
99	156	1405
100	156	1394
101	156	1381
102	157	1370
103	157	1359
104	158	1348
105	158	1338
106	159	1327
107	159	1317
108	159	1307
109	160	1297
110	160	1289
111	161	1280
112	161	1271
113	162	1262
114	162	1254
115	163	1244
116	163	1236
117	164	1227
118	164	1218
119	165	1210
120	165	1202
121	165	1194
122	166	1184
123	166	1176
124	167	1169
125	167	1161
126	167	1154
127	168	1146
128	168	1138
129	169	1132
130	169	1125
131	170	1118
132	170	1111
133	170	1105
134	171	1098
135	171	1092
136	172	1085
137	172	1078
138	173	1072
139	173	1066
140	174	1060
141	174	1054
142	174	1048
143	175	1042
144	175	1036
145	176	1031
146	176	1025
147	177	1020
148	177	1014
149	178	1009
150	178	1003
151	178	998
152	179	993
153	179	988
154	180	982
155	180	977
156	181	972
157	181	967
158	182	962
159	182	958
160	182	953
161	183	948
162	183	943
163	184	939
164	184	934
165	185	929
166	185	925
167	185	920
168	186	916
169	186	912
170	187	908
171	187	904
172	188	900
173	188	896
174	189	892
175	189	888
176	190	884
177	190	880
178	191	876
179	191	872
180	191	867
181	192	863
182	192	859
183	192	855
184	193	851
185	193	848
186	194	844
187	194	840
188	195	837
189	195	833
190	195	829
191	196	826
192	196	822
193	197	819
194	197	816
195	198	812
196	198	809
197	199	806
198	199	802
199	199	799
200	200	796
201	200	793
202	201	789
203	201	786
204	202	783
205	202	780
206	202	777
207	203	774
208	203	771
209	204	768
210	204	765
211	205	762
212	205	759
213	206	756
214	206	754
215	207	751
216	207	748
217	208	746
218	208	743
219	208	740
220	209	738
221	209	735
222	210	732
223	210	730
224	211	727
225	211	724
226	212	722
227	212	719
228	212	717
229	213	714
230	213	711
231	214	709
232	214	706
233	215	704
234	215	702
235	216	700
236	216	697
237	217	695
238	217	693
239	218	690
240	218	688
241	218	685
242	219	683
243	219	681
244	220	678
245	220	676
246	221	674
247	221	672
248	222	669
249	222	667
250	223	665
251	223	663
252	224	661
253	224	659
254	224	657
255	225	655
256	225	653
257	226	651
258	226	649
259	227	647
260	227	645
261	228	642
262	228	640
263	229	639
264	229	637
265	230	635
266	230	633
267	231	631
268	231	629
269	232	627
270	232	625
271	232	623
272	233	621
273	233	619
274	234	617
275	234	615
276	235	614
277	235	612
278	236	610
279	236	608
280	237	606
281	237	604
282	237	602
283	238	601
284	238	599
285	239	597
286	239	596
287	240	594
288	240	592
289	241	590
290	241	588
291	242	587
292	242	585
293	243	583
294	243	582
295	244	580
296	244	579
297	245	577
298	245	575
299	246	574
300	246	572
301	247	571
302	247	569
303	248	567
304	248	566
305	248	564
306	249	562
307	249	561
308	250	559
309	250	557
310	251	556
311	251	554
312	252	553
313	252	551
314	252	549
315	253	548
316	253	546
317	254	545
318	254	543
319	255	542
320	255	540
321	255	538
322	256	537
323	256	535
324	257	534
325	257	532
326	258	531
327	258	529
328	259	528
329	259	526
330	259	525
331	260	523
332	260	522
333	261	520
334	261	519
335	262	517
336	262	516
337	263	515
338	263	513
339	263	512
340	264	510
341	264	509
342	265	508
343	265	506
344	266	505
345	266	503
346	267	502
347	267	501
348	267	499
349	268	498
350	268	496
351	269	495
352	269	494
353	270	492
354	270	491
355	270	490
356	271	488
357	272	487
358	272	486
359	273	485
360	273	484
361	274	483
362	274	482
363	275	481
364	276	480
365	276	479
366	277	478
367	277	476
368	278	475
369	278	474
370	279	473
371	279	472
372	280	471
373	280	470
374	281	468
375	281	467
376	282	466
377	282	465
378	283	464
379	283	463
380	284	462
381	285	461
382	285	460
383	286	459
384	286	457
385	287	456
386	287	455
387	288	454
388	288	453
389	289	452
390	289	451
391	290	450
392	290	449
393	291	448
394	291	447
395	292	446
396	292	444
397	293	443
398	293	442
399	294	441
400	295	440
401	295	439
402	296	438
403	296	437
404	296	436
405	297	435
406	298	434
407	298	433
408	299	432
409	299	431
410	300	429
411	300	428
412	301	427
413	301	426
414	302	425
415	302	424
416	303	423
417	303	422
418	303	421
419	304	420
420	304	419
421	305	418
422	306	417
423	306	416
424	307	415
425	307	414
426	308	413
427	308	412
428	309	411
429	309	410
430	310	409
431	310	408
432	311	407
433	311	406
434	312	405
435	312	404
436	313	403
437	313	402
438	314	401
439	314	400
440	314	399
441	315	398
442	315	397
443	316	396
444	316	395
445	317	394
446	317	393
447	318	392
448	318	391
449	319	390
450	319	389
451	320	388
452	320	387
453	321	386
454	321	385
455	322	384
456	322	383
457	323	382
458	323	381
459	324	380
460	324	379
461	325	378
462	325	378
463	326	377
464	326	376
465	327	375
466	327	374
467	328	373
468	328	372
469	329	371
470	329	370
471	330	369
472	330	368
473	331	367
474	331	366
475	332	365
476	332	364
477	332	363
478	333	362
479	333	361
480	334	360
481	334	359
482	335	358
483	335	357
484	335	356
485	336	355
486	336	354
487	337	353
488	337	352
489	338	352
490	338	351
491	339	350
492	339	349
493	340	348
494	340	347
495	340	346
496	341	345
497	341	344
498	342	343
499	342	342
500	343	341
501	343	341
502	344	340
503	344	339
504	345	338
505	345	337
506	346	336
507	346	335
508	346	334
509	347	333
510	347	332
511	348	332
512	348	331
513	349	330
514	349	329
515	350	328
516	350	327
517	351	326
518	351	325
519	351	324
520	352	323
521	352	323
522	353	322
523	353	321
524	354	320
525	354	319
526	355	318
527	355	317
