iter	Passed	Remaining
0	95	95320
1	95	47883
2	96	32172
3	98	24503
4	100	19951
5	101	16863
6	103	14648
7	104	12976
8	106	11695
9	107	10636
10	108	9768
11	110	9058
12	111	8446
13	112	7911
14	113	7446
15	114	7028
16	115	6661
17	115	6326
18	116	6028
19	117	5772
20	118	5527
21	119	5306
22	120	5101
23	120	4912
24	121	4730
25	121	4565
26	122	4414
27	123	4270
28	123	4138
29	124	4012
30	124	3893
31	125	3782
32	125	3678
33	126	3581
34	126	3488
35	127	3401
36	127	3325
37	128	3254
38	129	3182
39	129	3113
40	130	3045
41	130	2981
42	131	2919
43	131	2860
44	132	2804
45	132	2749
46	133	2697
47	133	2647
48	133	2599
49	134	2554
50	134	2510
51	135	2469
52	135	2428
53	136	2388
54	136	2350
55	137	2314
56	137	2278
57	138	2244
58	138	2210
59	139	2178
60	139	2147
61	139	2117
62	140	2088
63	140	2059
64	141	2032
65	141	2005
66	142	1979
67	142	1954
68	143	1930
69	143	1906
70	143	1883
71	144	1861
72	144	1840
73	145	1819
74	145	1798
75	146	1778
76	146	1758
77	147	1738
78	147	1720
79	148	1702
80	148	1684
81	148	1666
82	149	1647
83	149	1630
84	150	1614
85	150	1600
86	151	1584
87	151	1572
88	152	1560
89	152	1546
90	153	1532
91	153	1518
92	154	1506
93	155	1494
94	155	1481
95	156	1469
96	156	1457
97	156	1444
98	157	1432
99	157	1420
100	158	1409
101	158	1397
102	159	1386
103	159	1375
104	160	1364
105	160	1354
106	161	1344
107	161	1333
108	162	1324
109	162	1315
110	163	1305
111	163	1297
112	164	1288
113	164	1279
114	165	1270
115	165	1261
116	165	1252
117	166	1243
118	166	1235
119	167	1228
120	167	1219
121	168	1210
122	168	1202
123	169	1195
124	169	1187
125	170	1180
126	170	1172
127	171	1165
128	171	1159
129	172	1152
130	172	1146
131	173	1140
132	174	1134
133	174	1128
134	175	1122
135	175	1115
136	176	1109
137	176	1103
138	177	1096
139	177	1090
140	177	1084
141	178	1077
142	178	1070
143	179	1065
144	179	1060
145	180	1054
146	180	1048
147	181	1043
148	181	1037
149	182	1032
150	182	1026
151	183	1021
152	183	1016
153	184	1011
154	184	1006
155	185	1000
156	185	995
157	185	990
158	186	986
159	186	981
160	187	975
161	187	971
162	188	966
163	188	961
164	189	957
165	189	952
166	190	947
167	190	943
168	190	938
169	191	934
170	191	930
171	192	925
172	192	921
173	193	917
174	193	913
175	194	909
176	194	905
177	195	901
178	195	896
179	195	892
180	196	888
181	196	884
182	197	880
183	197	876
184	198	873
185	198	869
186	199	865
187	199	861
188	200	858
189	200	854
190	200	850
191	201	847
192	201	843
193	202	840
194	202	836
195	203	833
196	203	829
197	203	826
198	204	822
199	204	819
200	205	816
201	205	812
202	206	809
203	206	806
204	207	803
205	207	799
206	207	796
207	208	793
208	208	790
209	209	787
210	209	784
211	210	781
212	210	778
213	211	775
214	211	772
215	211	769
216	212	766
217	212	763
218	213	760
219	213	757
220	214	754
221	214	752
222	215	749
223	215	746
224	215	743
225	216	741
226	216	738
227	217	735
228	217	733
229	218	731
230	218	728
231	219	726
232	219	723
233	220	721
234	220	718
235	221	716
236	221	713
237	222	711
238	222	708
239	222	705
240	223	703
241	223	701
242	224	698
243	224	696
244	225	694
245	225	691
246	226	689
247	226	687
248	227	685
249	227	682
250	228	680
251	228	678
252	228	675
253	229	673
254	229	671
255	230	669
256	230	667
257	231	665
258	231	662
259	232	660
260	232	658
261	233	656
262	233	654
263	234	652
264	234	650
265	234	648
266	235	646
267	235	644
268	236	642
269	236	640
270	237	638
271	238	637
272	238	635
273	239	633
274	239	631
275	240	629
276	240	628
277	241	626
278	241	624
279	242	622
280	242	620
281	243	619
282	243	617
283	244	615
284	244	613
285	245	612
286	245	610
287	246	608
288	246	606
289	247	605
290	247	603
291	248	601
292	248	600
293	249	598
294	249	596
295	250	595
296	250	593
297	251	592
298	251	590
299	252	588
300	252	587
301	253	585
302	253	583
303	254	582
304	254	580
305	255	579
306	255	577
307	256	576
308	256	574
309	257	572
310	257	571
311	258	569
312	258	568
313	259	566
314	259	564
315	260	563
316	260	561
317	261	560
318	261	558
319	262	557
320	262	556
321	263	554
322	263	552
323	264	551
324	264	549
325	265	548
326	265	547
327	266	545
328	266	544
329	267	542
330	267	541
331	268	539
332	268	538
333	269	536
334	269	535
335	270	534
336	270	532
337	271	531
338	271	529
339	272	528
340	272	527
341	273	525
342	273	524
343	274	522
344	274	521
345	275	520
346	275	519
347	276	517
348	276	516
349	277	514
350	277	513
351	278	512
352	278	510
353	279	509
354	279	508
355	280	506
356	280	505
357	281	504
358	281	503
359	282	502
360	283	501
361	283	499
362	284	498
363	284	497
364	285	496
365	285	494
366	286	493
367	286	492
368	287	491
369	287	490
370	288	488
371	288	487
372	289	486
373	289	485
374	290	484
375	290	482
376	291	481
377	291	480
378	292	479
379	292	477
380	293	476
381	293	475
382	294	474
383	295	473
384	295	472
385	296	470
386	296	469
387	296	468
388	297	467
389	298	466
390	298	465
391	299	464
392	299	462
393	300	461
394	300	460
395	301	459
396	301	458
397	302	457
398	302	456
399	303	455
400	303	453
401	304	452
402	304	451
403	305	450
404	305	449
405	306	448
406	307	447
407	307	446
408	307	445
409	308	443
410	309	442
411	309	441
412	310	440
413	310	439
414	311	438
415	311	437
416	312	436
417	312	435
418	313	434
419	313	433
420	314	431
421	314	430
422	315	429
423	315	428
424	316	427
425	316	426
426	316	425
427	317	424
428	317	423
429	318	422
430	318	420
431	319	420
432	320	419
433	320	417
434	320	416
435	321	415
436	321	414
437	322	413
438	322	412
439	323	411
440	323	410
441	324	409
442	324	408
443	325	407
444	325	406
445	326	405
446	326	404
447	327	403
448	327	402
449	328	401
450	328	400
451	329	399
452	329	398
453	330	397
454	330	396
455	331	395
456	331	394
457	332	393
458	332	392
459	333	391
460	333	390
461	334	389
462	335	388
463	335	387
464	336	386
465	336	385
466	337	384
467	337	383
468	338	382
469	338	382
470	339	381
471	339	380
472	340	379
473	340	378
474	341	377
475	341	376
476	342	375
477	342	374
478	343	373
479	343	372
480	344	371
481	344	370
482	345	369
483	345	368
484	346	368
485	347	367
486	347	366
487	348	365
488	348	364
489	349	363
490	349	362
491	350	361
492	351	361
493	351	360
494	352	359
495	353	359
496	353	358
497	354	357
498	354	356
499	355	355
500	356	354
501	356	353
502	357	352
503	357	351
504	358	351
505	358	350
506	359	349
507	360	348
508	360	348
509	361	347
510	361	346
511	362	345
512	363	344
513	364	344
514	364	343
515	365	342
516	365	341
517	366	341
518	367	340
519	367	339
520	368	338
521	368	337
522	369	336
523	370	336
524	370	335
525	371	334
526	371	333
527	372	332
528	372	331
529	373	331
530	374	330
531	374	329
532	375	328
533	375	328
534	376	327
535	377	326
536	377	325
537	378	324
538	378	324
539	379	323
540	380	322
541	380	321
542	381	320
543	382	320
544	382	319
545	383	318
546	383	317
547	384	317
548	385	316
549	385	315
550	386	314
551	386	313
552	387	312
553	387	312
554	388	311
555	389	310
556	389	309
557	390	309
558	390	308
559	391	307
560	391	306
561	392	305
562	393	305
563	393	304
564	394	303
565	395	302
566	395	302
567	396	301
568	396	300
569	397	299
570	397	298
571	398	297
572	398	297
573	399	296
574	399	295
575	400	294
576	401	293
577	401	293
578	402	292
579	402	291
580	403	290
581	403	290
582	404	289
583	404	288
584	405	287
585	405	286
586	406	285
587	407	285
588	407	284
589	408	283
590	408	282
591	409	282
592	409	281
593	410	280
594	410	279
595	411	278
596	411	278
597	412	277
598	412	276
599	413	275
600	413	274
601	414	274
602	414	273
603	415	272
604	415	271
605	416	270
606	417	270
607	417	269
608	418	268
609	418	267
610	419	266
611	419	266
612	420	265
613	420	264
614	421	263
615	421	263
616	422	262
617	423	261
618	423	260
619	424	260
620	424	259
621	425	258
622	425	257
623	426	256
624	426	256
625	427	255
626	427	254
627	428	253
628	428	252
629	429	252
630	429	251
631	430	250
632	430	249
633	431	248
634	431	248
635	432	247
636	432	246
637	433	245
638	433	245
639	434	244
640	434	243
641	435	242
642	435	241
643	436	241
644	436	240
645	437	239
646	437	238
647	438	238
648	438	237
649	439	236
650	440	235
651	440	235
652	441	234
653	441	233
654	442	232
655	442	232
656	442	231
657	443	230
658	443	229
659	444	228
660	444	228
661	445	227
662	446	226
663	446	225
664	447	225
665	447	224
666	448	223
667	448	222
668	449	222
669	449	221
670	450	220
671	450	219
672	451	219
673	451	218
674	452	217
675	452	216
676	453	216
677	453	215
678	454	214
679	454	213
680	455	213
681	455	212
682	456	211
683	456	210
684	457	210
685	457	209
686	458	208
687	458	207
688	459	207
689	459	206
690	459	205
691	460	204
692	460	204
693	461	203
694	462	202
695	462	202
696	463	201
697	463	200
698	464	199
699	464	199
700	465	198
701	465	197
702	466	197
703	466	196
704	467	195
705	467	194
706	468	194
707	468	193
708	469	192
709	470	191
710	470	191
711	471	190
712	471	189
713	472	189
714	472	188
715	473	187
716	473	186
717	474	186
718	474	185
719	475	184
720	475	184
721	475	183
722	476	182
723	476	181
724	477	181
725	478	180
726	478	179
727	479	178
728	479	178
729	480	177
730	480	176
731	481	176
732	481	175
733	482	174
734	482	173
735	483	173
736	483	172
737	484	171
738	484	171
739	485	170
740	485	169
741	486	169
742	486	168
743	487	167
744	488	167
745	488	166
746	489	165
747	489	165
748	490	164
749	491	163
750	491	163
751	492	162
752	492	161
753	493	160
754	493	160
755	494	159
756	494	158
757	495	158
758	496	157
759	496	156
760	497	156
761	497	155
762	498	154
763	498	154
764	499	153
765	499	152
766	500	151
767	500	151
768	501	150
769	501	149
770	502	149
771	502	148
772	503	147
773	503	147
774	504	146
775	504	145
776	505	145
777	505	144
778	506	143
779	506	142
780	507	142
781	507	141
782	508	140
783	508	140
784	509	139
785	509	138
786	510	138
787	510	137
788	511	136
789	511	136
790	512	135
791	512	134
792	513	133
793	513	133
794	514	132
795	514	131
796	515	131
797	515	130
798	516	129
799	516	129
800	517	128
801	517	127
802	518	127
803	518	126
804	519	125
805	519	125
806	520	124
807	521	123
808	521	123
809	522	122
810	522	121
811	523	121
812	523	120
813	524	119
814	524	119
815	525	118
816	525	117
817	526	117
